,data_light,data_batt,data_acce_x,data_acce_y,data_acce_z,data_temp,data_baro,data_magnx,data_magny,data_magnz,data_gyrox,data_gyroy,data_gyroz
50,0.48,76,0.365722656,-0.057373047,-0.865966797,19.02,1008.79,63.57411477,69.12185592,-530.9338217,28.67889404,102.7603149,1.899719238
51,0.32,76,0.122802734,-0.014160156,-0.995361328,19.02,1008.9,78.56800977,68.67203907,-501.6957265,16.76940918,-7.698059082,-55.27496338
52,0.4,76,0.123046875,0.079833984,-1.005126953,19.03,1008.83,81.41684982,72.27057387,-491.3499389,4.028320313,-2.571105957,-3.173828125
53,0.56,76,0.331787109,0.098388672,-1.093994141,19.04,1008.86,122.8,20.24175824,-584.162149,-1.777648926,-20.40863037,-4.463195801
54,0.56,76,0.567626953,0.153076172,-1.095458984,19.05,1008.82,81.56678877,64.92356532,-497.6473748,16.55578613,-5.264282227,-17.60864258
55,1.29,76,0.116210938,0.102050781,-0.790527344,19.04,1008.87,98.95970696,55.32747253,-484.3028083,2.685546875,-5.889892578,-39.52789307
56,1.29,76,0.079101563,0.098388672,-0.98828125,19.05,1008.87,88.16410256,60.12551893,-493.4490842,5.767822266,-5.920410156,-7.186889648
57,1.05,76,0.142333984,0.092285156,-1.001220703,19.05,1008.83,63.57411477,64.02393162,-551.9252747,5.126953125,-4.913330078,-4.760742188
58,1.05,76,0.132568359,0.056884766,-0.978271484,19.04,1008.82,63.57411477,65.52332112,-554.02442,4.753112793,-5.310058594,-3.952026367
59,1.05,76,0.107666016,0.052490234,-0.997802734,19.05,1008.75,63.87399267,67.47252747,-552.8249084,6.072998047,-5.424499512,-5.264282227
60,1.05,76,0.128173828,-0.007324219,-1.037109375,19.05,1008.84,63.27423687,65.82319902,-555.8236874,4.730224609,-4.013061523,-4.79888916
61,1.05,76,0.150878906,0.037597656,-0.988769531,19.05,1008.76,63.42417582,67.02271062,-554.4742369,6.172180176,-4.341125488,-5.645751953
62,1.13,76,0.147705078,0.055664063,-0.988037109,19.06,1008.82,67.47252747,69.72161172,-558.2227106,7.026672363,-8.38470459,-6.820678711
63,0.81,76,0.086425781,0.089111328,-1.004394531,19.05,1008.82,70.32136752,56.52698413,-489.2507937,2.700805664,-5.004882813,-4.829406738
64,0.96,76,0.160400391,0.058105469,-1.057373047,19.05,1008.87,61.02515263,54.57777778,-507.3934066,9.231567383,-4.96673584,-38.16986084
65,0.4,76,0.003417969,0.05859375,-0.982910156,19.04,1008.86,59.52576313,58.17631258,-504.2446886,11.63482666,-8.033752441,-32.48596191
66,0.56,76,0.251953125,0.054931641,-1.008789063,19.03,1008.76,63.57411477,59.37582418,-504.3946276,2.27355957,-8.857727051,10.68878174
67,0.24,76,0.25,-0.588378906,-0.207275391,19.05,1008.9,70.62124542,55.32747253,-504.9943834,-6.34765625,28.19824219,-13.61083984
68,0.48,76,-0.075195313,0.050292969,-1.495117188,19.05,1008.84,77.51843712,75.41929182,-507.2434676,9.338378906,-8.239746094,-45.0592041
69,0.4,76,0.141357422,-0.065429688,-1.027587891,19.04,1008.9,66.42295482,66.57289377,-519.5384615,17.40264893,-122.5891113,-27.89306641
70,0.56,76,0.291259766,0.061279297,-1.040771484,19.04,1008.86,91.16288156,60.72527473,-499.4466422,-6.523132324,-6.164550781,-7.835388184
71,0.56,76,0.232910156,-0.052734375,-0.987548828,19.04,1008.78,61.17509158,66.57289377,-546.8273504,17.27294922,1.922607422,-43.09844971
72,0.81,76,0.117431641,0.072021484,-0.970703125,19.04,1008.83,82.61636142,64.62368742,-499.1467643,4.570007324,1.968383789,-17.06695557
73,0.4,76,-0.557373047,-0.1953125,-0.912109375,19.03,1008.76,92.51233211,47.08083028,-494.9484737,8.415222168,-2.18963623,-14.06860352
74,0.73,76,0.417724609,0.208984375,-0.827392578,19.04,1008.84,100.0092796,67.02271062,-479.8046398,11.0244751,-5.004882813,-25.98571777
75,0.88,76,0.261474609,0.16015625,-0.947509766,19.04,1008.84,109.0056166,66.87277167,-493.4490842,3.463745117,-9.323120117,-0.038146973
76,0.56,76,0.190185547,-0.114501953,-1.02734375,19.03,1008.79,77.06862027,59.82564103,-489.7006105,2.227783203,-1.14440918,-7.743835449
